userId,itemId,rating
0,1358,0.5
1,82095,0.5
1,5700,0.5
1,5356,0.5
1,8137,0.5
1,4775,0.5
1,4051,0.5
1,87520,0.5
1,8290,0.5
1,3933,0.5
1,6514,0.5
1,4255,0.5
1,137517,0.5
1,8136,0.5
1,102025,0.5
1,157172,0.5
1,4471,0.5
1,4158,0.5
1,125916,0.5
1,53453,0.5
1,2534,0.5
1,1552,0.5
1,5106,0.5
1,151745,0.5
1,8138,0.5
1,125221,0.5
1,129250,0.5
2,3081,0.5
2,6534,0.5
3,5945,0.5
3,8665,0.5
3,8644,0.5
3,7255,0.5
3,3476,0.5
3,342,0.5
3,317,0.5
3,1186,0.5
3,4744,0.5
3,1676,0.5
3,26614,0.5
3,762,0.5
3,7318,0.5
3,5879,0.5
3,56775,0.5
3,44191,0.5
4,8387,0.5
4,432,0.5
4,5047,0.5
4,1021,0.5
4,4233,0.5
4,3248,0.5
4,6872,0.5
4,317,0.5
5,7161,0.5
5,4721,0.5
5,5478,0.5
5,466,0.5
5,3785,0.5
5,4305,0.5
5,49276,0.5
5,370,0.5
5,33164,0.5
5,32019,0.5
5,8807,0.5
5,442,0.5
5,1378,0.5
5,3882,0.5
5,3671,0.5
5,3646,0.5
5,5055,0.5
5,5323,0.5
6,1760,0.5
6,2236,0.5
7,296,0.5
7,175485,0.5
8,104,0.5
8,788,0.5
8,317,0.5
8,1573,0.5
8,377,0.5
8,344,0.5
8,435,0.5
9,68954,0.5
10,2683,0.5
11,236,0.5
11,1101,0.5
11,6503,0.5
11,2524,0.5
11,6548,0.5
11,2013,0.5
12,435,0.5
13,2315,0.5
13,36401,0.5
13,4371,0.5
13,3830,0.5
13,5784,0.5
13,33085,0.5
13,3774,0.5
13,5151,0.5
13,867,0.5
13,42723,0.5
13,1453,0.5
13,1407,0.5
13,1325,0.5
13,2572,0.5
13,31422,0.5
13,4228,0.5
13,1328,0.5
13,1503,0.5
13,1499,0.5
13,186,0.5
13,1324,0.5
13,4749,0.5
13,44972,0.5
13,2017,0.5
13,3594,0.5
13,1409,0.5
13,2806,0.5
13,7701,0.5
13,1322,0.5
13,585,0.5
13,7636,0.5
13,4750,0.5
13,53435,0.5
13,1614,0.5
13,27434,0.5
13,7259,0.5
13,6483,0.5
13,1717,0.5
13,47518,0.5
13,256,0.5
13,5943,0.5
13,6888,0.5
13,50798,0.5
13,455,0.5
13,3882,0.5
13,31424,0.5
13,1326,0.5
13,8967,0.5
13,1431,0.5
13,33171,0.5
13,47810,0.5
13,3273,0.5
13,1101,0.5
13,3826,0.5
13,6250,0.5
13,2606,0.5
14,1882,0.5
15,480,0.5
15,2571,0.5
15,104841,0.5
15,1036,0.5
15,91500,0.5
15,260,0.5
15,68157,0.5
15,457,0.5
15,3578,0.5
16,175475,0.5
16,5,0.5
17,79879,0.5
18,8984,0.5
18,4447,0.5
18,1380,0.5
18,784,0.5
19,527,0.5
19,77798,0.5
20,3054,0.5
20,4887,0.5
20,1721,0.5
20,546,0.5
20,32598,0.5
20,6482,0.5
20,4388,0.5
20,61348,0.5
20,4025,0.5
20,31221,0.5
20,1831,0.5
20,8371,0.5
20,34332,0.5
20,3593,0.5
20,54768,0.5
21,953,0.5
21,546,0.5
21,4308,0.5
21,522,0.5
21,44,0.5
21,374,0.5
21,48,0.5
21,3176,0.5
21,2081,0.5
21,4255,0.5
21,1760,0.5
21,7004,0.5
21,312,0.5
21,181,0.5
21,168,0.5
21,1091,0.5
21,833,0.5
21,63,0.5
21,435,0.5
21,575,0.5
21,596,0.5
21,4679,0.5
21,1513,0.5
21,4621,0.5
21,158,0.5
21,737,0.5
21,2799,0.5
21,3440,0.5
21,1681,0.5
21,6827,0.5
21,4733,0.5
21,4678,0.5
21,5103,0.5
22,3624,0.5
22,5418,0.5
22,31878,0.5
22,1385,0.5
22,1862,0.5
22,4720,0.5
22,6874,0.5
22,505,0.5
22,7438,0.5
22,1223,0.5
23,2986,0.5
23,3755,0.5
23,1375,0.5
23,2719,0.5
24,3998,0.5
24,1882,0.5
24,1457,0.5
24,1391,0.5
24,420,0.5
24,34405,0.5
24,185,0.5
24,350,0.5
25,79224,0.5
25,5810,0.5
26,3578,0.5
26,1036,0.5
26,480,0.5
26,104841,0.5
26,260,0.5
26,2571,0.5
26,68157,0.5
26,91500,0.5
26,457,0.5
27,8814,0.5
27,2628,0.5
28,3264,0.5
29,296,0.5
29,3147,0.5
29,63082,0.5
29,3949,0.5
29,7361,0.5
30,27904,0.5
30,44974,0.5
30,546,0.5
31,2694,0.5
32,58293,0.5
33,8644,0.5
33,778,0.5
33,5445,0.5
33,53996,0.5
33,91658,0.5
33,1240,0.5
33,72998,0.5
