userId,itemId,rating
1,1,10.0
1,2,9.0
1,3,10.0
2,4,8.0
2,5,10.0
3,6,10.0
4,7,10.0
4,8,8.0
5,9,2.0
6,10,9.0
7,11,10.0
7,12,9.0
7,13,8.0
7,14,10.0
8,15,7.0
9,16,10.0
9,17,10.0
9,18,7.0
10,19,5.0
10,20,7.0
10,21,6.0
10,22,7.0
10,23,7.0
10,24,6.0
10,25,7.0
10,26,7.0
11,27,10.0
11,28,10.0
11,29,10.0
11,30,10.0
12,31,9.0
12,32,9.0
12,33,9.0
12,34,8.0
13,35,7.0
13,36,4.0
13,37,7.0
13,38,5.0
14,7,10.0
14,39,7.0
14,40,9.0
14,41,10.0
14,42,8.0
14,43,10.0
14,44,8.0
14,45,9.0
14,46,9.0
14,47,9.0
14,48,9.0
14,8,8.0
14,49,9.0
14,50,9.0
14,51,8.0
14,52,9.0
14,53,5.0
14,54,7.0
14,55,8.0
14,56,9.0
14,57,10.0
14,58,9.0
14,59,10.0
14,60,10.0
14,61,8.0
14,62,10.0
14,63,6.0
14,64,8.0
14,65,9.0
14,66,10.0
14,67,10.0
14,68,9.0
14,69,8.0
14,70,9.0
14,71,5.0
14,72,9.0
14,73,8.0
14,74,9.0
14,75,8.0
14,76,10.0
14,77,10.0
14,78,10.0
14,79,10.0
14,80,10.0
14,81,10.0
14,82,10.0
14,83,10.0
14,84,10.0
14,85,10.0
14,86,10.0
15,87,7.0
15,88,7.0
15,89,8.0
15,90,8.0
16,91,10.0
16,92,10.0
16,93,10.0
16,94,10.0
16,95,10.0
16,96,10.0
16,97,10.0
16,98,10.0
16,99,10.0
16,100,10.0
16,101,10.0
16,102,10.0
16,103,10.0
16,104,10.0
16,105,10.0
16,106,10.0
16,107,10.0
17,108,8.0
17,109,8.0
17,51,6.0
17,110,8.0
17,111,7.0
18,112,8.0
18,113,6.0
18,114,7.0
18,115,8.0
18,116,5.0
18,117,8.0
18,118,9.0
18,119,8.0
18,120,7.0
18,121,8.0
19,122,4.0
19,123,9.0
19,124,5.0
19,101,6.0
19,125,10.0
19,126,6.0
20,127,10.0
21,128,8.0
21,129,7.0
21,130,3.0
21,131,5.0
21,132,9.0
21,133,10.0
21,134,8.0
22,135,8.0
23,136,7.0
23,137,7.0
23,138,8.0
24,139,10.0
24,140,9.0
25,141,9.0
26,142,6.0
26,143,6.0
26,144,7.0
26,145,8.0
26,146,7.0
26,147,7.0
26,148,7.0
26,149,7.0
26,150,7.0
26,151,7.0
26,152,8.0
27,153,5.0
27,154,10.0
27,155,8.0
27,156,7.0
27,157,9.0
27,158,9.0
27,159,10.0
